case,mode,bearing_deg,distance_m_perceived,distance_world,rms_l,rms_r,rms_total,level_db,balance
hardpan_left,rolloff,0,25,343.75,0.35355339,0,0.35355339,-9.031,-1
hardpan_left,rolloff,0,30,412.5,0.35355339,0,0.35355339,-9.031,-1
hardpan_right,pan,0,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,15,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,30,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,45,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,60,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,75,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,90,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,105,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,120,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,135,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,150,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,165,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,180,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,195,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,210,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,225,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,240,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,255,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,270,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,285,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,300,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,315,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,330,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,pan,345,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,0.25,3.4375,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,0.5,6.875,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,1,13.75,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,1.5,20.625,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,2,27.5,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,2.5,34.375,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,3,41.25,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,4,55,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,5,68.75,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,6,82.5,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,8,110,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,10,137.5,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,12,165,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,14,192.5,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,16,220,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,20,275,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,22,302.5,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,25,343.75,0,0.35355339,0.35355339,-9.031,1
hardpan_right,rolloff,0,30,412.5,0,0.35355339,0.35355339,-9.031,1
silence,pan,0,1.5,20.625,0,0,0,-120,0
silence,pan,15,1.5,20.625,0,0,0,-120,0
silence,pan,30,1.5,20.625,0,0,0,-120,0
silence,pan,45,1.5,20.625,0,0,0,-120,0
silence,pan,60,1.5,20.625,0,0,0,-120,0
silence,pan,75,1.5,20.625,0,0,0,-120,0
silence,pan,90,1.5,20.625,0,0,0,-120,0
silence,pan,105,1.5,20.625,0,0,0,-120,0
silence,pan,120,1.5,20.625,0,0,0,-120,0
silence,pan,135,1.5,20.625,0,0,0,-120,0
silence,pan,150,1.5,20.625,0,0,0,-120,0
silence,pan,165,1.5,20.625,0,0,0,-120,0
silence,pan,180,1.5,20.625,0,0,0,-120,0
silence,pan,195,1.5,20.625,0,0,0,-120,0
silence,pan,210,1.5,20.625,0,0,0,-120,0
silence,pan,225,1.5,20.625,0,0,0,-120,0
silence,pan,240,1.5,20.625,0,0,0,-120,0
silence,pan,255,1.5,20.625,0,0,0,-120,0
silence,pan,270,1.5,20.625,0,0,0,-120,0
silence,pan,285,1.5,20.625,0,0,0,-120,0
silence,pan,300,1.5,20.625,0,0,0,-120,0
silence,pan,315,1.5,20.625,0,0,0,-120,0
silence,pan,330,1.5,20.625,0,0,0,-120,0
silence,pan,345,1.5,20.625,0,0,0,-120,0
silence,rolloff,0,0.25,3.4375,0,0,0,-120,0
silence,rolloff,0,0.5,6.875,0,0,0,-120,0
silence,rolloff,0,1,13.75,0,0,0,-120,0
silence,rolloff,0,1.5,20.625,0,0,0,-120,0
silence,rolloff,0,2,27.5,0,0,0,-120,0
silence,rolloff,0,2.5,34.375,0,0,0,-120,0
silence,rolloff,0,3,41.25,0,0,0,-120,0
silence,rolloff,0,4,55,0,0,0,-120,0
silence,rolloff,0,5,68.75,0,0,0,-120,0
silence,rolloff,0,6,82.5,0,0,0,-120,0
silence,rolloff,0,8,110,0,0,0,-120,0
silence,rolloff,0,10,137.5,0,0,0,-120,0
silence,rolloff,0,12,165,0,0,0,-120,0
silence,rolloff,0,14,192.5,0,0,0,-120,0
silence,rolloff,0,16,220,0,0,0,-120,0
silence,rolloff,0,20,275,0,0,0,-120,0
silence,rolloff,0,22,302.5,0,0,0,-120,0
silence,rolloff,0,25,343.75,0,0,0,-120,0
silence,rolloff,0,30,412.5,0,0,0,-120,0
